Numarul Circumscriptiei,Numarul total de alegatori,Raionul RO,Raionul RU,Localitatea/Adresa RO,Localitatea/Adresa RU,Numarul sectiei de vot,Adresa sectiei de vot
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str-la Praga 18,str-la Praga 18,43,"Creşa-grădiniţă nr.112, (tel. 022 556011)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str-la Praga 20,str-la Praga 20,43,"Creşa-grădiniţă nr.112, (tel. 022 556011)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 6,str. Sarmizegetusa 6,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 8,str. Sarmizegetusa 8,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 10,str. Sarmizegetusa 10,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 14/2,str. Sarmizegetusa 14/2,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 14/3,str. Sarmizegetusa 14/3,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 16/2,str. Sarmizegetusa 16/2,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 8,str. N. Zelinski 8,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 10,str. N. Zelinski 10,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 10/2,str. N. Zelinski 10/2,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 12,str. N. Zelinski 12,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 12/3,str. N. Zelinski 12/3,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 12/4,str. N. Zelinski 12/4,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 91/2,bd. Decebal 91/2,44,"Creşa-grădiniţă nr.96, (tel. 022 554201)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 21,bd. Dacia 21,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 25,bd. Dacia 25,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 76/3,bd. Decebal 76/3,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 78,bd. Decebal 78,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 78/1,bd. Decebal 78/1,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 78/2,bd. Decebal 78/2,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 80,bd. Decebal 80,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 82,bd. Decebal 82,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 82/1,bd. Decebal 82/1,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 82/2,bd. Decebal 82/2,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 84,bd. Decebal 84,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 139,bd. Decebal 139,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 108,str. Constantin Brâncuși 108,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 110,str. Constantin Brâncuși 110,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 112,str. Constantin Brâncuși 112,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 114,str. Constantin Brâncuși 114,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 116,str. Constantin Brâncuși 116,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 118,str. Constantin Brâncuși 118,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 120,str. Constantin Brâncuși 120,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 122,str. Constantin Brâncuși 122,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 110a,str. Constantin Brâncuși 110a,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 110b,str. Constantin Brâncuși 110b,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Constantin Brâncuși 110c,str. Constantin Brâncuși 110c,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str-la Lvov (1) 66,str-la Lvov (1) 66,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str-la Lvov (5),str-la Lvov (5),45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Zagreb,str. Zagreb,45,"Institutul de Formare Continuă, (tel. 022 854693)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 15,bd. Dacia 15,46,"Centrul Academic Internaţional Eminescu, (tel. 022 771403)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 17,bd. Dacia 17,46,"Centrul Academic Internaţional Eminescu, (tel. 022 771403)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 18,bd. Dacia 18,46,"Centrul Academic Internaţional Eminescu, (tel. 022 771403)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 19,bd. Dacia 19,46,"Centrul Academic Internaţional Eminescu, (tel. 022 771403)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 20,bd. Dacia 20,46,"Centrul Academic Internaţional Eminescu, (tel. 022 771403)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 22,bd. Dacia 22,46,"Centrul Academic Internaţional Eminescu, (tel. 022 771403)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 24,bd. Dacia 24,46,"Centrul Academic Internaţional Eminescu, (tel. 022 771403)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 12/2,bd. Dacia 12/2,47,"Liceul Teoretic ""Liviu Rebreanu"", str. Hristo Botev nr.9/2, (tel. 022 771611)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 16/1,bd. Dacia 16/1,47,"Liceul Teoretic ""Liviu Rebreanu"", str. Hristo Botev nr.9/2, (tel. 022 771611)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Dacia 16/2,bd. Dacia 16/2,47,"Liceul Teoretic ""Liviu Rebreanu"", str. Hristo Botev nr.9/2, (tel. 022 771611)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Hristo Botev 17,str. Hristo Botev 17,47,"Liceul Teoretic ""Liviu Rebreanu"", str. Hristo Botev nr.9/2, (tel. 022 771611)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Hristo Botev 19/2,str. Hristo Botev 19/2,47,"Liceul Teoretic ""Liviu Rebreanu"", str. Hristo Botev nr.9/2, (tel. 022 771611)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Hristo Botev 19/3,str. Hristo Botev 19/3,47,"Liceul Teoretic ""Liviu Rebreanu"", str. Hristo Botev nr.9/2, (tel. 022 771611)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Hristo Botev 19/5,str. Hristo Botev 19/5,47,"Liceul Teoretic ""Liviu Rebreanu"", str. Hristo Botev nr.9/2, (tel. 022 771611)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Hristo Botev 19/6,str. Hristo Botev 19/6,47,"Liceul Teoretic ""Liviu Rebreanu"", str. Hristo Botev nr.9/2, (tel. 022 771611)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Hristo Botev 19/7,str. Hristo Botev 19/7,47,"Liceul Teoretic ""Liviu Rebreanu"", str. Hristo Botev nr.9/2, (tel. 022 771611)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. A. Mureșanu,str. A. Mureșanu,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 28,str. N. Titulescu 28,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 28/2,str. N. Titulescu 28/2,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 30,str. N. Titulescu 30,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 32,str. N. Titulescu 32,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 34,str. N. Titulescu 34,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 36,str. N. Titulescu 36,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 47,str. N. Titulescu 47,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 47/2,str. N. Titulescu 47/2,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 47/3,str. N. Titulescu 47/3,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 49/1,str. N. Titulescu 49/1,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 49/2,str. N. Titulescu 49/2,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 51,str. N. Titulescu 51,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 53/1,str. N. Titulescu 53/1,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 53/2,str. N. Titulescu 53/2,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 53/3,str. N. Titulescu 53/3,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Titulescu 55,str. N. Titulescu 55,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 5/1,str. N. Zelinski 5/1,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 5/2,str. N. Zelinski 5/2,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 5/3,str. N. Zelinski 5/3,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 5/4,str. N. Zelinski 5/4,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 5/5,str. N. Zelinski 5/5,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 5/6,str. N. Zelinski 5/6,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 5/7,str. N. Zelinski 5/7,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 5/8,str. N. Zelinski 5/8,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 23,str. Sarmizegetusa 23,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 25,str. Sarmizegetusa 25,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 25/1,str. Sarmizegetusa 25/1,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Sarmizegetusa 25/2,str. Sarmizegetusa 25/2,48,"Direcţia Asistenţă Socială, sectorul Botanica, (tel. 022 527171)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,bd. Decebal 91,bd. Decebal 91,49,"Liceul Teoretic cu profil de arte ""Elena Alistar"", (tel. 022 557008)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 20,str. N. Zelinski 20,49,"Liceul Teoretic cu profil de arte ""Elena Alistar"", (tel. 022 557008)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 22,str. N. Zelinski 22,49,"Liceul Teoretic cu profil de arte ""Elena Alistar"", (tel. 022 557008)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 24,str. N. Zelinski 24,49,"Liceul Teoretic cu profil de arte ""Elena Alistar"", (tel. 022 557008)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 26/1,str. N. Zelinski 26/1,49,"Liceul Teoretic cu profil de arte ""Elena Alistar"", (tel. 022 557008)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 26/2,str. N. Zelinski 26/2,49,"Liceul Teoretic cu profil de arte ""Elena Alistar"", (tel. 022 557008)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 28/1,str. N. Zelinski 28/1,49,"Liceul Teoretic cu profil de arte ""Elena Alistar"", (tel. 022 557008)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 28/2,str. N. Zelinski 28/2,49,"Liceul Teoretic cu profil de arte ""Elena Alistar"", (tel. 022 557008)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. N. Zelinski 28/3,str. N. Zelinski 28/3,49,"Liceul Teoretic cu profil de arte ""Elena Alistar"", (tel. 022 557008)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 172,șos. Muncești 172,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 174,șos. Muncești 174,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 176,șos. Muncești 176,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 178,șos. Muncești 178,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 238,șos. Muncești 238,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 240,șos. Muncești 240,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 242,șos. Muncești 242,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 246,șos. Muncești 246,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 248,șos. Muncești 248,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 250,șos. Muncești 250,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 252,șos. Muncești 252,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 254,șos. Muncești 254,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 256,șos. Muncești 256,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 258,șos. Muncești 258,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 260,șos. Muncești 260,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 262,șos. Muncești 262,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,șos. Muncești 264,șos. Muncești 264,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. A. Cristea,str. A. Cristea,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 26,str. Așhabad 26,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 32,str. Așhabad 32,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 34,str. Așhabad 34,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 36,str. Așhabad 36,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 38,str. Așhabad 38,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 40,str. Așhabad 40,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 42,str. Așhabad 42,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 60,str. Așhabad 60,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 51,str. Așhabad 51,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 61,str. Așhabad 61,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 83,str. Așhabad 83,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 87,str. Așhabad 87,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Așhabad 107,str. Așhabad 107,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Căușeni 1,str. Căușeni 1,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Căușeni 2,str. Căușeni 2,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
24,56797,MUNICIPIUL CHIȘINĂU - Botanica,Муниципий Кишинэу - Ботаника,str. Căușeni 2a,str. Căușeni 2a,50,"Gimnaziul ""Nicolae H. Costin"", (tel. 022 550117)"
